"","X1","K_beta","Mean_C1","Mean_C2","N","N_C1","N_C2","N_Tail","pi_C1","pi_C2","pi_Tail","rcc_C1","rcc_C2","rcc_Tail","Scale_Tail","Shape_Tail","tail","Variance_C1","Variance_C2","coverage","K_B","K_BB","karyotype","sample","samplename","Mean_C3","N_C3","pi_C3","rcc_C3","Variance_C3","Mean_Tail","Variance_Tail","purity","ploidy","purity_conf_mad","wgd_status","wgd_uncertain"
"1",1,2,0.364855189492178,0.106042880110057,104,50,54,0,0.487100853564458,0.512899146435541,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.00708325633211757,0.000976237613608629,39.5,2,0,"1:1","003819bc-c415-4e76-887c-931d60ed39e7","003819bc-c415-4e76-887c-931d60ed39e7",NA,NA,NA,NA,NA,NA,NA,0.774,2.001,0.022,"no_wgd",FALSE
"2",2,3,0.671645538189173,0.605504939348691,104,34,59,0,0.266323773302,0.62790699592877,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.00339679922575447,0.0420270275063971,14,2,0,"1:0","0040b1b6-b07a-4b6e-90ef-133523eaf412","0040b1b6-b07a-4b6e-90ef-133523eaf412",0.6,11,0.10576923076923,FALSE,1.23259516440783e-32,NA,NA,0.8,2.428,0.011,"no_wgd",FALSE
"3",3,1,0.40226058813294,NA,5747,5747,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0136958539139051,NA,22,1,0,"1:1","0040b1b6-b07a-4b6e-90ef-133523eaf412","0040b1b6-b07a-4b6e-90ef-133523eaf412",NA,NA,NA,NA,NA,NA,NA,0.8,2.428,0.011,"no_wgd",FALSE
"4",4,1,0.308000745225897,NA,6441,6441,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0122694003192708,NA,30,1,0,"2:1","0040b1b6-b07a-4b6e-90ef-133523eaf412","0040b1b6-b07a-4b6e-90ef-133523eaf412",NA,NA,NA,NA,NA,NA,NA,0.8,2.428,0.011,"no_wgd",FALSE
"5",5,1,0.433923952975753,NA,1361,1361,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0161802227620375,NA,21,1,0,"2:0","0040b1b6-b07a-4b6e-90ef-133523eaf412","0040b1b6-b07a-4b6e-90ef-133523eaf412",NA,NA,NA,NA,NA,NA,NA,0.8,2.428,0.011,"no_wgd",FALSE
"6",6,2,0.68779897655467,0.181543466786827,241,154,87,0,0.642480785891387,0.357519214108613,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.0251515528341872,0.00360360177402586,22,2,0,"1:0","00493087-9d9d-40ca-86d5-936f1b951c93","00493087-9d9d-40ca-86d5-936f1b951c93",NA,NA,NA,NA,NA,NA,NA,0.837,1.831,0.03,"no_wgd",FALSE
"7",7,2,0.388391142207421,0.124185283481463,2283,1810,473,0,0.740013273687396,0.259986726312604,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.012494692561568,0.00163209689265378,38,2,0,"1:1","00493087-9d9d-40ca-86d5-936f1b951c93","00493087-9d9d-40ca-86d5-936f1b951c93",NA,NA,NA,NA,NA,NA,NA,0.837,1.831,0.03,"no_wgd",FALSE
"8",8,2,0.853205329689369,0.460992316911675,497,274,103,120,0.543198318657572,0.200725316555933,0.256076364786495,TRUE,FALSE,FALSE,0.061199999,1.18962069360455,TRUE,0.00289580050404401,0.00904252584678274,41,2,0,"1:0","00508f2b-36bf-44fc-b66b-97e1f3e40bfa","00508f2b-36bf-44fc-b66b-97e1f3e40bfa",NA,NA,NA,NA,NA,0.383949577838848,Inf,0.92,1.637,0.003,"no_wgd",FALSE
"9",9,2,0.460503844609964,0.263554740855837,1633,990,331,312,0.596446214158687,0.191290696943612,0.212263088897701,FALSE,TRUE,FALSE,0.050599999,1.54979409564452,TRUE,0.00321538303907645,0.00249937774156588,76,2,0,"1:1","00508f2b-36bf-44fc-b66b-97e1f3e40bfa","00508f2b-36bf-44fc-b66b-97e1f3e40bfa",NA,NA,NA,NA,NA,0.142634452263238,Inf,0.92,1.637,0.003,"no_wgd",FALSE
"10",10,1,0.398913753507576,NA,97,82,NA,15,0.816805522604758,NA,0.183194477395242,TRUE,NA,TRUE,0.068999999,2.0009160105581,TRUE,0.00679632660325834,NA,45,1,0,"1:0","005794f1-5a87-45b5-9811-83ddf6924568","005794f1-5a87-45b5-9811-83ddf6924568",NA,NA,NA,NA,NA,0.13793685111562,10.3808108132792,0.596,1.973,0.006,"no_wgd",FALSE
"11",11,1,0.296489990062015,NA,5076,4622,NA,454,0.893637843553838,NA,0.106362156446162,TRUE,NA,TRUE,0.050599999,1.2885219671787,TRUE,0.00425826380755575,NA,58,1,0,"1:1","005794f1-5a87-45b5-9811-83ddf6924568","005794f1-5a87-45b5-9811-83ddf6924568",NA,NA,NA,NA,NA,0.225976589887652,Inf,0.596,1.973,0.006,"no_wgd",FALSE
"12",12,2,0.455820225813781,0.168115242655364,87,18,69,0,0.211002936962233,0.788997063037767,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.00421293669597154,0.00382415654713496,28,2,0,"1:0","005e85a3-3571-462d-8dc9-2babfc7ace21","005e85a3-3571-462d-8dc9-2babfc7ace21",NA,NA,NA,NA,NA,NA,NA,0.46,1.929,0.018,"no_wgd",FALSE
"13",13,1,0.160971431092712,NA,1224,1224,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00511928144692004,NA,47,2,0,"1:1","005e85a3-3571-462d-8dc9-2babfc7ace21","005e85a3-3571-462d-8dc9-2babfc7ace21",NA,NA,NA,NA,NA,NA,NA,0.46,1.929,0.018,"no_wgd",FALSE
"14",14,2,0.291006101046307,0.0941725522342633,738,544,194,0,0.736336433616769,0.263663566383231,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.00257382421037342,0.000927042268202656,81,2,0,"1:1","007aab66-2f07-459d-8952-3041d6ea24a8","007aab66-2f07-459d-8952-3041d6ea24a8",NA,NA,NA,NA,NA,NA,NA,0.581,1.996,0.005,"no_wgd",FALSE
"15",15,1,0.256327611940298,NA,134,134,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0164788245360882,NA,34.5,2,0,"1:0","008bad10-d41b-4bbb-86fa-9976ecea46b1","008bad10-d41b-4bbb-86fa-9976ecea46b1",NA,NA,NA,NA,NA,NA,NA,0.361,1.949,0.074,"no_wgd",FALSE
"16",16,1,0.147979483568075,NA,2130,2130,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00342746331147039,NA,63,1,0,"1:1","008bad10-d41b-4bbb-86fa-9976ecea46b1","008bad10-d41b-4bbb-86fa-9976ecea46b1",NA,NA,NA,NA,NA,NA,NA,0.361,1.949,0.074,"no_wgd",FALSE
