K_beta,Mean_C1,Mean_C2,N,N_C1,N_C2,N_Tail,pi_C1,pi_C2,pi_Tail,rcc_C1,rcc_C2,rcc_Tail,Scale_Tail,Shape_Tail,tail,Variance_C1,Variance_C2,score,samplename,karyotype,Mean_C3,N_C3,pi_C3,rcc_C3,Variance_C3,Mean_Tail,Variance_Tail
2,0.3648551894921784,0.1060428801100567,104,50,54,0,0.4871008535644585,0.5128991464355415,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.007083256332117566,9.762376136086287e-4,reICL,003819bc-c415-4e76-887c-931d60ed39e7,1:1,NA,NA,NA,NA,NA,NA,NA
3,0.6716455381891732,0.6055049393486911,104,34,59,0,0.26632377330199986,0.6279069959287702,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.003396799225754469,0.0420270275063971,reICL,0040b1b6-b07a-4b6e-90ef-133523eaf412,1:0,0.6000000000000001,11,0.10576923076923002,FALSE,1.232595164407831e-32,NA,NA
1,0.4022605881329398,NA,5747,5747,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.013695853913905105,NA,reICL,0040b1b6-b07a-4b6e-90ef-133523eaf412,1:1,NA,NA,NA,NA,NA,NA,NA
1,0.30800074522589704,NA,6441,6441,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.012269400319270813,NA,reICL,0040b1b6-b07a-4b6e-90ef-133523eaf412,2:1,NA,NA,NA,NA,NA,NA,NA
1,0.4348108050127449,NA,1361,1326,NA,35,0.9581719923730608,NA,0.04182800762693914,TRUE,NA,TRUE,0.086999999,0.7991006331084205,TRUE,0.012766142199562666,NA,reICL,0040b1b6-b07a-4b6e-90ef-133523eaf412,2:0,NA,NA,NA,NA,NA,Inf,Inf
2,0.6877989765546696,0.18154346678682654,241,154,87,0,0.6424807858913869,0.35751921410861304,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.025151552834187164,0.0036036017740258557,reICL,00493087-9d9d-40ca-86d5-936f1b951c93,1:0,NA,NA,NA,NA,NA,NA,NA
2,0.3883911422074211,0.12418528348146274,2283,1810,473,0,0.7400132736873962,0.25998672631260367,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.012494692561568018,0.0016320968926537775,reICL,00493087-9d9d-40ca-86d5-936f1b951c93,1:1,NA,NA,NA,NA,NA,NA,NA
2,0.8532053296893692,0.4609923169116752,497,274,103,120,0.5431983186575722,0.20072531655593323,0.25607636478649465,TRUE,FALSE,FALSE,0.061199999,1.189620693604554,TRUE,0.0028958005040440084,0.009042525846782737,reICL,00508f2b-36bf-44fc-b66b-97e1f3e40bfa,1:0,NA,NA,NA,NA,NA,0.3839495778388479,Inf
2,0.46050384460996424,0.26355474085583713,1633,990,331,312,0.5964462141586875,0.19129069694361175,0.21226308889770076,FALSE,TRUE,FALSE,0.050599999,1.549794095644522,TRUE,0.003215383039076454,0.002499377741565884,reICL,00508f2b-36bf-44fc-b66b-97e1f3e40bfa,1:1,NA,NA,NA,NA,NA,0.14263445226323807,Inf
1,0.39891375350757574,NA,97,82,NA,15,0.8168055226047581,NA,0.18319447739524194,TRUE,NA,TRUE,0.068999999,2.0009160105581048,TRUE,0.006796326603258336,NA,reICL,005794f1-5a87-45b5-9811-83ddf6924568,1:0,NA,NA,NA,NA,NA,0.1379368511156196,10.380810813279183
1,0.2964899900620149,NA,5076,4622,NA,454,0.8936378435538384,NA,0.10636215644616163,TRUE,NA,TRUE,0.050599999,1.2885219671787025,TRUE,0.004258263807555745,NA,reICL,005794f1-5a87-45b5-9811-83ddf6924568,1:1,NA,NA,NA,NA,NA,0.22597658988765248,Inf
2,0.4558202258137806,0.16811524265536396,87,18,69,0,0.21100293696223338,0.7889970630377666,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.004212936695971538,0.0038241565471349645,reICL,005e85a3-3571-462d-8dc9-2babfc7ace21,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.160971431092712,NA,1224,1224,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00511928144692004,NA,reICL,005e85a3-3571-462d-8dc9-2babfc7ace21,1:1,NA,NA,NA,NA,NA,NA,NA
2,0.29100610104630714,0.09417255223426328,738,544,194,0,0.736336433616769,0.2636635663832309,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.0025738242103734246,9.270422682026558e-4,reICL,007aab66-2f07-459d-8952-3041d6ea24a8,1:1,NA,NA,NA,NA,NA,NA,NA
1,0.30291846689813146,NA,134,101,NA,33,0.7353464359052085,NA,0.26465356409479146,TRUE,NA,TRUE,0.066699999,1.872497757816681,TRUE,0.012209301701836074,NA,reICL,008bad10-d41b-4bbb-86fa-9976ecea46b1,1:0,NA,NA,NA,NA,NA,0.14314718571473561,Inf
1,0.1568454548341249,NA,2130,1940,NA,190,0.8721050912313889,NA,0.12789490876861112,TRUE,NA,TRUE,0.050599999,2.160282506866935,TRUE,0.003018003958973317,NA,reICL,008bad10-d41b-4bbb-86fa-9976ecea46b1,1:1,NA,NA,NA,NA,NA,0.09421006697959332,0.02563291219766699
1,0.1357795918367347,NA,49,49,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.005723604073302789,NA,reICL,008bad10-d41b-4bbb-86fa-9976ecea46b1,2:1,NA,NA,NA,NA,NA,NA,NA
2,0.90820682987665,0.7101824426961587,91,74,17,0,0.7454514032622379,0.25454859673776203,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.0015511374713157884,0.02473706303176434,reICL,00b9d0e6-69dc-4345-bffd-ce32880c8eef,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.4651670176130234,NA,3740,3646,NA,94,0.9687342168899196,NA,0.031265783110080436,TRUE,NA,TRUE,0.052599999,0.8163511053616851,TRUE,0.009979813118275949,NA,reICL,00b9d0e6-69dc-4345-bffd-ce32880c8eef,1:1,NA,NA,NA,NA,NA,Inf,Inf
1,0.4811866666666667,NA,60,60,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.01924489615555556,NA,reICL,00b9d0e6-69dc-4345-bffd-ce32880c8eef,2:1,NA,NA,NA,NA,NA,NA,NA
1,0.5808862068965518,NA,29,29,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.05225077498216408,NA,reICL,00b9d0e6-69dc-4345-bffd-ce32880c8eef,2:0,NA,NA,NA,NA,NA,NA,NA
